AchievementCriteriaFont;Fonts\\FRIZQT__.TTF;10;;;000000;1;-1;AchievementDescriptionFont;LEFT;
AchievementDateFont;Fonts\\FRIZQT__.TTF;10;;ffd100;;;;AchievementFont_Small;RIGHT;
AchievementDescriptionFont;Fonts\\FRIZQT__.TTF;10;;;000000;1;-1;SystemFont_Small;;TOP
AchievementFont_Small;Fonts\\FRIZQT__.TTF;10;;;;;;;;
AchievementPointsFont;Fonts\\FRIZQT__.TTF;16;;ffd100;000000;1;-1;SystemFont_Shadow_Large;;
AchievementPointsFontSmall;Fonts\\FRIZQT__.TTF;12;;ffd100;000000;1;-1;SystemFont_Shadow_Med1;;
ArtifactAppearanceSetHighlightFont;Fonts\\MORPHEUS.TTF;24;;;;;;Fancy24Font;;
ArtifactAppearanceSetNormalFont;Fonts\\MORPHEUS.TTF;24;;ffd100;;;;Fancy24Font;;
BossEmoteNormalHuge;Fonts\\FRIZQT__.TTF;25;;ffd100;000000;1;-1;SystemFont_Shadow_Huge3;;
CharacterCreateTooltipFont;Fonts\\FRIZQT__.TTF;15;OUTLINE;;;;;SystemFont_Outline_Med2;;
ChatBubbleFont;Fonts\\FRIZQT__.TTF;13;;;;;;;;
ChatFontNormal;Fonts\\ARIALN.TTF;13;;;000000;1;-1;NumberFont_Shadow_Med;;
ChatFontSmall;Fonts\\ARIALN.TTF;12;;;000000;1;-1;NumberFont_Shadow_Small;;
CombatLogFont;Fonts\\FRIZQT__.TTF;12;;;000000;1;-1;GameFontHighlight;LEFT;
CombatTextFont;Fonts\\FRIZQT__.TTF;64;;ffd100;000000;1;-1;SystemFont_World;;
CombatTextFontOutline;Fonts\\FRIZQT__.TTF;64;OUTLINE, THICKOUTLINE;ffd100;000000;1;-1;SystemFont_World_ThickOutline;;
CommentatorCCFont;Fonts\\FRIZQT__.TTF;32;OUTLINE, THICKOUTLINE;;;;;SystemFont_OutlineThick_WTF;;
CommentatorDampeningFont;Fonts\\FRIZQT__.TTF;16;;;000000;2;0;CommentatorTeamScoreFont;;
CommentatorFontMedium;Fonts\\FRIZQT__.TTF;18;;;000000;1;-1;SystemFont_Shadow_Large2;;
CommentatorFontSmall;Fonts\\FRIZQT__.TTF;12;;;000000;1;-1;SystemFont_Med1;;
CommentatorTeamNameFont;Fonts\\FRIZQT__.TTF;16;;ffd100;000000;2;0;SystemFont_Large;;
CommentatorTeamScoreFont;Fonts\\FRIZQT__.TTF;16;;;000000;2;0;SystemFont_Shadow_Large;;
CommentatorVictoryFanfare;Fonts\\FRIZQT__.ttf;120;;;000000;2;0;Game120Font;;
CommentatorVictoryFanfareTeam;Fonts\\FRIZQT__.ttf;72;;;000000;2;0;Game72Font;;
ConsoleFontNormal;Fonts\\ARIALN.TTF;13;;;000000;1;-1;NumberFont_Shadow_Med;;
ConsoleFontSmall;Fonts\\ARIALN.TTF;12;;;000000;1;-1;NumberFont_Shadow_Small;;
CoreAbilityFont;Fonts\\MORPHEUS.ttf;32;;1a1a1a;;;;;;
DestinyFontHuge;Fonts\\MORPHEUS.ttf;32;;1a1a1a;;;;;;
DestinyFontLarge;Fonts\\MORPHEUS.ttf;18;;1a1a1a;;;;;;
DestinyFontMed;Fonts\\MORPHEUS.ttf;13;;1a1a1a;;;;;;
DialogButtonHighlightText;Fonts\\FRIZQT__.TTF;16;;;;;;DialogButtonNormalText;;
DialogButtonNormalText;Fonts\\FRIZQT__.TTF;16;;ffd100;;;;SystemFont_Large;;
ErrorFont;Fonts\\FRIZQT__.TTF;16;;ffd100;000000;1;-1;GameFontNormalLarge;;
Fancy12Font;Fonts\\MORPHEUS.TTF;12;;;;;;;;
Fancy14Font;Fonts\\MORPHEUS.TTF;13;;;;;;;;
Fancy16Font;Fonts\\MORPHEUS.TTF;16;;;;;;;;
Fancy18Font;Fonts\\MORPHEUS.TTF;18;;;;;;;;
Fancy20Font;Fonts\\MORPHEUS.TTF;20;;;;;;;;
